benchmark,solver,configuration,solver time,status,result,verifier time,verifier result
sat/01-integer-programming-5-10-100.cnf.bz2,Relaxed_LCMDCBDL_newTech,default,5000.02,timeout (wallclock),UNKNOWN,0.0206039,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,SLIME,default,5000.01,timeout (wallclock),UNKNOWN,0.016032,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,Top16-Undominated-LC-MapleLCMDiscChronoBT-DL,default,5000.04,timeout (wallclock),UNKNOWN,0.019872,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,Top24-Undominated-LC-MapleLCMDiscChronoBT-DL,default,5000.06,timeout (wallclock),UNKNOWN,0.0167071,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,Top36-Undominated-LC-MapleLCMDiscChronoBT-DL,default,5000.04,timeout (wallclock),UNKNOWN,0.022335,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,Undominated-LC-MapleLCMDiscChronoBT-DL,default,5000.04,timeout (wallclock),UNKNOWN,0.015651,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,cadical-alluip,default,5000.08,timeout (wallclock),UNKNOWN,0.0288759,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,cadical-alluip-trail,default,5000.03,timeout (wallclock),UNKNOWN,0.0236779,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,cadical-trail,default,5000.02,timeout (wallclock),UNKNOWN,0.021412,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,cryptominisat-ccnr,default,5000.11,timeout (wallclock),UNKNOWN,0.013495,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,cryptominisat-ccnr-lsids,default,5000.01,timeout (wallclock),UNKNOWN,0.026284,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,cryptominisat-walksat,default,5000.01,timeout (wallclock),UNKNOWN,0.018869,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,exp_L_MLD_CBT_DL,default,5000.02,timeout (wallclock),UNKNOWN,0.0201301,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,exp_V_LGB_MLD_CBT_DL,default,5000.02,timeout (wallclock),UNKNOWN,0.022872,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,exp_V_L_MLD_CBT_DL,default,5000.05,timeout (wallclock),UNKNOWN,0.0181051,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,exp_V_MLD_CBT_DL,default,5000.03,timeout (wallclock),UNKNOWN,0.0246879,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,glucose3.0,proofs,5000.05,timeout (wallclock),UNKNOWN,0.0255679,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,upGlucose-3.0_PADC,default,5000.03,timeout (wallclock),UNKNOWN,0.023758,TIMEOUT
sat/170055892.cnf.bz2,CaDiCaL-sc2020,default,5000.05,timeout (wallclock),UNKNOWN,0.023922,TIMEOUT
sat/170055892.cnf.bz2,DurianSat,default,5000.09,timeout (wallclock),UNKNOWN,0.02888,TIMEOUT
sat/170055892.cnf.bz2,ExMapleLCMDistChronoBT,PADC_DL,5000.06,timeout (wallclock),UNKNOWN,0.022929,TIMEOUT
sat/170055892.cnf.bz2,ExMapleLCMDistChronoBT,PADC_DL_OVAU_Exp,5000.01,timeout (wallclock),UNKNOWN,0.020771,TIMEOUT
sat/170055892.cnf.bz2,ExMapleLCMDistChronoBT,PADC_DL_OVAU_Lin,5000.03,timeout (wallclock),UNKNOWN,0.0180811,TIMEOUT
sat/170055892.cnf.bz2,ExMapleLCMDistChronoBT,PSIDS_DL,5000.07,timeout (wallclock),UNKNOWN,0.020043,TIMEOUT
sat/170055892.cnf.bz2,Kissat-sc2020-default,default,0.894889,complete,SAT-VERIFIED,0.010775,--
sat/170055892.cnf.bz2,Kissat-sc2020-sat,default,0.2435,complete,SAT-VERIFIED,0.0111991,--
sat/170055892.cnf.bz2,Kissat-sc2020-unsat,default,3.18835,complete,SAT-VERIFIED,0.0100241,--
sat/170055892.cnf.bz2,MLCMDChronoBT-DL-Scavel,default,438.003,complete,SAT-VERIFIED,0.02475,--
sat/170055892.cnf.bz2,Maple-LCM-Dist-alluip-trail,default,5000.02,timeout (wallclock),UNKNOWN,0.01881,TIMEOUT
