8549a59214f5c35da1333eb1ee77df30 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
ff0d5cb434081622290325ab3ed57fd7 unsat 245.128 197.114 67.304 100.145 321.691 244.774 164.436 924.266 920.4 208.814 875.197 114.308 186.787 65.318
a130a3f95891daed1bfd71c77bd2d8a1 unsat 397.839 652.947 35.189 56.823 233.686 16.82 47.974 118.89 121.057 115.381 194.586 32.361 414.543 304.43
1e35d939af7897ca53f87757754adec9 unsat 221.827 233.861 73.256 76.002 712.402 577.18 299.48 1721.279 1785.689 138.434 138.172 260.738 251.411 103.26
1f413718bf393d43d31a1e498fc4d123 unsat timeout timeout timeout timeout timeout timeout timeout timeout timeout 2362.389 timeout timeout timeout timeout
db267ea0279158fb3ef0558b73506089 sat 235.682 1979.014 466.411 628.717 timeout 3503.496 310.521 timeout timeout timeout 1297.213 294.007 timeout 269.179
4e6ed02919858555623b578af7bb9ce5 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
5a5fb82a3672ee898465aa8f1103147f unsat 1.029 1.031 1.613 1.722 0.032 0.035 0.09 0.015 0.015 0.061 0.055 0.048 0.033 1.043
b5247278fe70f2a5ec06822a78bce5f0 sat 948.947 4242.495 1803.108 2532.905 timeout 94.942 timeout timeout timeout 3790.097 timeout timeout timeout 1386.519
8d212cd0912c67d6634a5ca8a5d9f7cb unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
a5507d7a8dacbc0ecd7abc8d631c266a unsat 1.068 1.072 1.615 1.735 0.09 0.06 0.602 0.149 0.143 1.035 0.253 0.444 0.23 1.028
f50508c7983eea7cce9556409c972877 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
e7aea8faf31ba0ab03bc269223a5bd9d unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
dac6f7f51d4aad660422a31ed0ee2456 unsat 11.116 10.124 4.712 5.284 1.652 1.703 15.181 13.08 13.906 25.416 2.353 8.57 3.979 5.05
aef139dd6fc121fbc2d23e43cf88d32b unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
92f994c5f2fe934d4ba65f781db417d9 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
efe7b285f4605a8d24de73590f358150 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
0928111a3d5d5ce05dffb83cb5982eba unsat 1.022 1.024 1.63 1.71 0.022 0.023 0.083 0.023 0.024 0.06 0.057 0.048 0.028 1.174
d1a2352797c89d56f217e8f8ddc64c82 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
f4ca5fca83e870d2ed56f2b00b074ed4 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
f545c22ae3510cdf7ac578872c7701e4 sat 4268.497 timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
60e9b195b9e92db3cfe16916d53757c0 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
f8a4580103305bc96f774a186054d322 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
d3a1b763497b09902fd0a3c6afadae63 unknown timeout timeout timeout timeout failed timeout timeout timeout timeout timeout timeout timeout timeout timeout
1f1ab0fd7da480fb9736da2b3e985fb8 sat 2276.788 2333.15 timeout timeout 1052.536 timeout timeout timeout timeout timeout timeout timeout timeout timeout
bf4a159e317b957da7981146493159e1 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
2f998f06e0729ffa9ee5930dd8ba807c unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
74a7c2b5fbcf433b1bac43748c09e0ff unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
e87b1032f86cd784eba018eb8c6358de unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
441ea208de1be6e32e97415c9da9241b unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
9412f2d96dc9130e236a3446eb70e0c0 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
5d7d18cfa2b71bbf56c11f2fdfbd6873 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
102ddb414ef5a0f8cf06f168df8f271a unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
8483632ccd23319f4710174391d52c4f unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
b3d4854cd2fe7e9f528a6fe75d727bad unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
b34924ea0812ea17683047a443b6ab99 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
856e8a73e5c92ccdb42ee5851e67d207 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
1c1d04b20da61c0bc2328cdca8b8aa3a unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
ca6f385b29f7b9fb474f9ed7f9f921af sat 256.128 267.017 85.844 257.648 74.925 timeout timeout 32.836 33.311 timeout timeout timeout 52.297 68.803
f33b2b99b991e02e7c9729fc3f336aac unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
ba71e5c87a5d9db532d1c60299dea50c sat 525.858 518.311 147.006 295.58 timeout timeout timeout 61.122 60.043 timeout timeout timeout 336.9 151.7
b01346439155f2e815fe3754eccdc76c sat 381.759 414.44 63.118 155.804 52.943 53.942 134.897 85.164 84.183 1145.644 timeout 86.84 145.189 59.719
2a15a30186afdad41a49c5c5366d01be sat 476.784 504.59 38.171 132.33 10.519 10.299 40.469 69.176 72.467 76.584 timeout 27.152 130.041 75.005
8e905dfa09f45f7f50099f70cc38714c sat 571.994 573.975 350.665 904.567 266.187 timeout 1467.39 76.162 76.493 timeout timeout 388.778 186.336 624.875
85eef885042cc63551c8938d4f6ab02e sat 670.177 655.126 1462.983 2531.823 timeout timeout timeout 115.706 112.167 timeout timeout timeout 253.894 1771.175
bd39f27a6ff74a059b318d302c9ba2ee sat 663.55 731.228 2282.027 timeout 1267.03 timeout timeout 178.473 177.888 timeout timeout timeout 277.42 4295.552
06872e73223dc74c76b06f37a185dc22 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
562c4f75b56aa462a9e77c787b9bdeca unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
7238c9b56aecfad5079a5c20fa363185 unsat timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout 3457.766 timeout timeout timeout
9030e1888ba0aff5c7b0cf90adc47aaa unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
b9733445f4c40231a91fa35523e4163d unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
100193c6b2ba32b40859f2bb99ec269c unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
417807e4c1f2829471bcd8981304b2d6 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
d36a3588adea5b97fa1cdd2ecb35c055 unsat 2018.932 1795.949 119.317 156.904 778.826 221.49 246.434 946.406 924.999 189.652 timeout 165.467 590.227 249.609
